,Date,Q-P1,Q-P2,Q-P3,Q-P4,
13.06.2010	5422	3725	576	907
14.06.2010	7047	779	3578	1574
15.06.2010	1572	2082	595	1145
16.06.2010	5657	2399	3140	1672
17.06.2010	3668	3207	2184	708
18.06.2010	2898	2539	311	1513
19.06.2010	6912	1470	1576	1608
20.06.2010	5209	2550	3415	842
21.06.2010	6322	852	3646	1377
22.06.2010	6865	414	3902	562
23.06.2010	1287	3955	2710	1804
24.06.2010	2197	1429	2754	1299
25.06.2010	7910	1622	5574	306
26.06.2010	3855	1015	1746	608
27.06.2010	5988	3288	916	1530
28.06.2010	2653	1544	3867	652
29.06.2010	3664	2294	3244	897
30.06.2010	7077	2297	5376	1130
01.07.2010	3509	700	1175	1205
02.07.2010	3716	3175	651	1263
03.07.2010	7746	2883	671	728
04.07.2010	7006	2833	758	1005
05.07.2010	5223	1923	1583	1877
06.07.2010	4753	3125	2787	583
07.07.2010	3369	752	5913	358
08.07.2010	6805	758	4499	1740
09.07.2010	7826	2872	3592	328
10.07.2010	7450	273	4511	505
11.07.2010	5868	1690	1461	391
12.07.2010	5273	1888	5949	1677
13.07.2010	1562	1851	3289	1740
14.07.2010	378	581	2531	446
15.07.2010	3180	438	1327	532
16.07.2010	2508	1197	1556	1946
17.07.2010	7257	302	4973	1686
18.07.2010	2527	1347	1626	1724
19.07.2010	2581	2489	2607	1692
20.07.2010	7694	2975	1278	558
21.07.2010	3935	2972	5299	1253
22.07.2010	2898	532	4664	1667
23.07.2010	7734	1994	2772	271
24.07.2010	3052	3935	4623	1653
25.07.2010	3041	811	1973	526
26.07.2010	1387	2539	1890	1073
27.07.2010	4536	2131	4185	470
28.07.2010	7659	734	3981	1121
29.07.2010	3144	3855	1856	1873
30.07.2010	6361	1773	3443	287
31.07.2010	2733	3985	1341	1428
01.08.2010	2062	3659	2194	803
02.08.2010	1964	908	1608	1231
03.08.2010	3461	3800	3193	1443
04.08.2010	2118	3793	4333	1383
05.08.2010	6458	3136	566	1135
06.08.2010	957	256	1505	1442
07.08.2010	3595	3855	4211	1767
08.08.2010	1980	1641	3747	1398
09.08.2010	3589	3037	4366	724
10.08.2010	2661	1125	2235	281
11.08.2010	5148	2530	5069	748
12.08.2010	3272	2734	4940	1137
13.08.2010	5704	808	891	994
14.08.2010	3914	2652	920	744
15.08.2010	3094	2510	303	504
16.08.2010	4180	3720	1356	781
17.08.2010	7024	3160	2743	1168
18.08.2010	5187	490	5874	1456
19.08.2010	570	628	4053	1402
20.08.2010	2497	3055	5978	1606
21.08.2010	419	1278	5544	489
22.08.2010	2592	438	3777	1568
23.08.2010	7712	1739	3940	1041
24.08.2010	1076	539	2568	668
25.08.2010	2668	1272	4365	1846
26.08.2010	1350	2211	1900	602
27.08.2010	7841	469	4670	938
28.08.2010	586	3052	4481	1919
29.08.2010	2003	741	4222	1563
31.08.2010	2564	2772	5371	1819
01.09.2010	3532	2223	5959	519
02.09.2010	519	2119	1349	614
03.09.2010	2957	1896	2583	1034
04.09.2010	5478	3084	5614	717
05.09.2010	5010	2834	359	1417
06.09.2010	3027	2584	4244	1390
07.09.2010	867	2795	5645	1641
08.09.2010	4198	2352	2762	366
09.09.2010	2107	3004	5320	1756
10.09.2010	3807	575	3085	1498
11.09.2010	1949	1978	4159	950
12.09.2010	2923	2974	784	976
13.09.2010	2111	1739	1049	1535
14.09.2010	3179	3646	4008	1088
15.09.2010	6653	255	554	486
16.09.2010	4008	2164	1959	1189
17.09.2010	6950	2226	5834	1493
18.09.2010	1284	1287	3272	1777
19.09.2010	949	550	4564	1850
20.09.2010	5573	2502	4367	384
